"MOD_NAME","ITM_NAME","SEQ_NO","DSCR","ITM_TYPE","FLD_LEN","DECML","MIN_LEN","MAX_LEN","CODELIST","update_stamp"
"AE","VERBATIM","25","MedDRA Lookup Term","CHAR","100","","","","","2013-09-14 07:59:41.0"
"AE","LLT_NAME","26","Low Level Term","CHAR","100","","","","","2013-09-14 07:59:41.0"
"AE","PT_CODE","27","Preferred Term Code","NUMBER","15","0","","","","2013-09-14 07:59:41.0"
"AE","PT_NAME","28","Preferred Term Name","CHAR","120","","","","","2013-09-14 07:59:41.0"
"AE","HLT_NAME","29","High Level Term","CHAR","120","","","","","2013-09-14 07:59:41.0"
"AE","HLGTNAME","30","High Level Group Term","CHAR","120","","","","","2013-09-14 07:59:41.0"
"AE","SOCABBR1","31","System Organ Class 1","CHAR","5","","","","","2013-09-14 07:59:41.0"
"AE","VMEDDRA","32","MedDRA Version","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AE","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:41.0"
"AE","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:41.0"
"AE","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:41.0"
"AE","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:41.0"
"av133_sbr","SUBJECT_NUMBER","1","Subject ID","ST","","","","5","","2014-03-03 13:28:38.0"
"av133_sbr","VISIT_NUMBER","2","Scan Number","ST","","","","3","","2014-03-03 13:28:46.0"
"av133_sbr","TIMEPOINT","3","Imaging Time point","ST","","","","5","","2014-03-03 13:28:46.0"
"av133_sbr","RCAUD-S","4","SBR OccipUnited of the RCAUD-S","REAL","","","","5","","2014-03-03 13:28:46.0"
"av133_sbr","RPUTANT-S","5","SBR OccipUnited of the RPUTANT-S","REAL","","","","5","","2014-03-03 13:28:47.0"
"av133_sbr","RPUTPOST-S","6","SBR OccipUnited of the RPUTPOST-S","REAL","","","","5","","2014-03-03 13:28:57.0"
"av133_sbr","LCAUD-S","7","SBR OccipUnited of the LCAUD-S","REAL","","","","5","","2014-03-03 13:28:57.0"
"av133_sbr","LPUTANT-S","8","SBR OccipUnited of the LPUTANT-S","REAL","","","","5","","2014-03-03 13:28:57.0"
"av133_sbr","LPUTPOST-S","9","SBR OccipUnited of the LPUTPOST-S","REAL","","","","5","","2014-03-03 13:28:58.0"
"AVELIG","","0","AV-133 Subject Eligibility","","","","","","","2013-09-14 07:59:41.0"
"AVELIG","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:41.0"
"AVELIG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:41.0"
"AVELIG","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:41.0"
"AVELIG","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"AVELIG","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AVELIG","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AVELIG","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:41.0"
"AVELIG","SIGNCNST","8","Signed Consent","CHAR","1","","","","CHECKBOX","2013-09-14 07:59:41.0"
"AVELIG","AVCNSTDT","9","AV-133 Informed consent date","DATE","","","","","","2013-09-14 07:59:41.0"
"AVELIG","INEX1","10","Inclusion Exclusion question 1","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX2","11","Inclusion Exclusion question 2","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX3","12","Inclusion Exclusion question 3","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX4","13","Inclusion Exclusion question 4","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX5","14","Inclusion Exclusion question 5","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX6","15","Inclusion Exclusion question 6","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","INEX7","16","Inclusion Exclusion question 7","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVELIG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:41.0"
"AVELIG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:41.0"
"AVELIG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:41.0"
"AVELIG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","","0","AV-133 Imaging","","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:41.0"
"AVIMAG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:41.0"
"AVIMAG","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:41.0"
"AVIMAG","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"AVIMAG","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AVIMAG","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AVIMAG","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","INVEVLBF","8","Study physician able to evaluate before","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVIMAG","VITLTMBF","9","Vital Sign Time - before","TIME","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","SYSSUPBF","10","Supine BP - systolic - before","NUMBER","3","0","100","140","","2013-09-14 07:59:41.0"
"AVIMAG","DIASUPBF","11","Supine BP - diastolic - before","NUMBER","3","0","60","100","","2013-09-14 07:59:41.0"
"AVIMAG","HRSUPBF","12","Supine heart rate - before","NUMBER","3","0","40","90","","2013-09-14 07:59:41.0"
"AVIMAG","SPREGPRF","13","Serum Pregnancy test performed","CHAR","1","","","","YNNA","2013-09-14 07:59:41.0"
"AVIMAG","SPRGRSLT","14","Serum Pregnancy test result","CHAR","1","","","","POSNEG01","2013-09-14 07:59:41.0"
"AVIMAG","SPRGCNBF","15","Serum Preg result confirmed prior to","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVIMAG","UPREGPRF","16","Urine Pregnancy test performed","CHAR","1","","","","YNNA","2013-09-14 07:59:41.0"
"AVIMAG","UPRGRSLT","17","Urine Pregnancy test result","CHAR","1","","","","POSNEG01","2013-09-14 07:59:41.0"
"AVIMAG","UPRGCNBF","18","Urine Preg result confirmed prior to","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVIMAG","INJECTTM","19","Time of Injection","TIME","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","VITLTMAF","20","Vital Sign Time - after","TIME","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","SYSSUPAF","21","Supine BP - systolic - after","NUMBER","3","0","100","140","","2013-09-14 07:59:41.0"
"AVIMAG","DIASUPAF","22","Supine BP - diastolic - after","NUMBER","3","0","60","100","","2013-09-14 07:59:41.0"
"AVIMAG","HRSUPAF","23","Supine heart rate - after","NUMBER","3","0","40","90","","2013-09-14 07:59:41.0"
"AVIMAG","PETCMPLT","24","PET scan completed?","CHAR","1","","","","CMPLT2","2013-09-14 07:59:41.0"
"AVIMAG","PETDT","25","Date PET scan completed","DATE","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","INVEVLAF","26","Study physician able to evaluate after","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVIMAG","XFRYN","27","Data transfer","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AVIMAG","VMATRSLT","28","VMAT-2 PET Interpretation Report","CHAR","1","","","","VMATRSLT","2013-09-14 07:59:41.0"
"AVIMAG","COMM","29","Comments","CHAR","240","","","","","2013-09-14 07:59:41.0"
"AVIMAG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:41.0"
"AVIMAG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:41.0"
"AVIMAG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:41.0"
"CHNGCAT","","0","Change of Category Form","","","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","REC_ID","1","Record ID","NUMBER","12","0","","","","2014-01-19 00:43:17.0"
"CHNGCAT","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","CNO","3","Center Number","CHAR","4","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","PATNO","4","Patient Number","CHAR","8","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","EVENT_ID","5","Event Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","PAG_NAME","6","Page Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","INFODT","7","Event Date","DATE","","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","CHNGAPDX","8","New category (change)","CHAR","1","","","","CHNGAPDX","2014-01-19 00:43:17.0"
"CHNGCAT","CHNGFVIS","9","First visit conducted in new category","CHAR","3","","","","VIS","2014-01-19 00:43:17.0"
"CHNGCAT","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2014-01-19 00:43:17.0"
"CHNGCAT","SITE_APRV","104","Date site approved the data","DATE","","","","","","2014-01-19 00:43:17.0"
"CLINDX","","0","Clinical Diagnosis and Management","","","","","","","2013-09-14 07:59:41.0"
"CLINDX","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:41.0"
"CLINDX","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:41.0"
"CLINDX","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:41.0"
"CLINDX","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"CLINDX","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"CLINDX","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"CLINDX","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:41.0"
"CLINDX","PSLVL","8","Confidence level-motor signs of PS","CHAR","1","","","","PSLVL","2013-09-14 07:59:41.0"
"CLINDX","DCNOMTR","9","No motor signs consistent with PS","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DCRTREM","10","Present for dx PD-Rest Tremor","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DCRIGID","11","Present for dx PD-Rigidity","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DCBRADY","12","Present for dx PD-Bradykinesia","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DFPGDIST","13","Postural and gait dist are typical of PD","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DFOTH","14","Other signs related to PS","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DFOTHCM","15","Other signs related to PS - comment","CHAR","100","","","","","2013-09-14 07:59:41.0"
"CLINDX","PRIMDIAG","16","Most  likely primary diagnosis","CHAR","2","","","","PRIMDIAG","2013-09-14 07:59:41.0"
"CLINDX","OTHNEURO","17","Other neurological disorder(s) (specify)","CHAR","50","","","","","2013-09-14 07:59:41.0"
"CLINDX","CLDXCHNG","18","Change in clinical diagnosis","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFDTIMG","19","Factors in diagnosis-imaging data","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFCLSGN","20","Factors in diagnosis-clinical signs","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFRSPMD","21","Factors in diagnosis-response to PD med","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFNATHX","22","Factors in diagnosis-natural history","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFOTH","23","Factors in diagnosis-other","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","DXFOTHCM","24","Factors in diagnosis-other comment","CHAR","100","","","","","2013-09-14 07:59:41.0"
"CLINDX","MNGCHNG","25","Change in clinical management","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","MNGTRTSX","26","Current management-treat symptoms of PD","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","MNGTRIAL","27","Current management-enrolled in trial","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","MNGTRTOT","28","Current management-treat other than PD","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","MNGDXTST","29","Current management-diagnostic testing","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","MNGNOTRT","30","Current management-no treatment","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","OTNEURVS","31","Seen another neurologist","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"CLINDX","NEURWKDX","32","Other neurologist working diagnosis","CHAR","100","","","","","2013-09-14 07:59:41.0"
"CLINDX","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:41.0"
"CLINDX","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINDX","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"CLINDX","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","","0","Clinical Labs","","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"CLINLAB","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"CLINLAB","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"CLINLAB","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"CLINLAB","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CLINLAB","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CLINLAB","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","BLDLAB","8","Blood for safety labs","CHAR","1","","","","LABP","2013-09-14 07:59:42.0"
"CLINLAB","BLDSHPDT","9","Date shipped to central lab","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","COMM","10","Comments","CHAR","240","","","","","2013-09-14 07:59:42.0"
"CLINLAB","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"CLINLAB","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"CLINLAB","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"CODE_DECODE","VIEWNAME","1","Data Table","CHAR","13","","","","","2013-09-14 07:59:42.0"
"CODE_DECODE","ITM_NAME","2","Item Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CODE_DECODE","CDL_NAME","3","Codelist Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CODE_DECODE","CODE","4","Codes","CHAR","40","","","","","2013-09-14 07:59:42.0"
"CODE_DECODE","DECODE","5","Decoded Value","CHAR","40","","","","","2013-09-14 07:59:42.0"
"COGCATG","","0","Cognitive Categorization","","","","","","","2013-09-14 07:59:42.0"
"COGCATG","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"COGCATG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"COGCATG","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"COGCATG","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"COGCATG","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"COGCATG","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"COGCATG","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"COGCATG","PTCGBOTH","8","Source of Information","CHAR","1","","","","PTCGBOTH","2013-09-14 07:59:42.0"
"COGCATG","COGDECLN","9","Experienced cognitive decline","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"COGCATG","FNCDTCOG","10","Functional impairment due to cognitive","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"COGCATG","COGSTATE","11","Cognitive State","CHAR","1","","","","COGSTATE","2013-09-14 07:59:42.0"
"COGCATG","COGDXCL","12","Level of confidence cognitive diagnosis","CHAR","1","","","","PROBIPD","2013-09-14 07:59:42.0"
"COGCATG","RVWNPSY","13","Review neuropsychological tests","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"COGCATG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"COGCATG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"COGCATG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"COGCATG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"CONCL","","0","Conclusion of Study Participation","","","","","","","2013-09-14 07:59:42.0"
"CONCL","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"CONCL","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"CONCL","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"CONCL","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"CONCL","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CONCL","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CONCL","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CONCL","COMPLT","8","Did the subject complete the study?","CHAR","2","","","","COMPLT","2013-09-14 07:59:42.0"
"CONCL","WDRSN","9","Reason for withdrawal","CHAR","2","","","","WDRSN","2013-09-14 07:59:42.0"
"CONCL","WDRSNCM","10","Withdrawal comment","CHAR","240","","","","","2013-09-14 07:59:42.0"
"CONCL","WDDT","11","Withdrawal date","DATE","","","","","","2013-09-14 07:59:42.0"
"CONCL","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"CONCL","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"CONCL","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"CONCL","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","","0","Concomitant Medications","","","","","","","2013-09-14 07:59:42.0"
"CONMED","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"CONMED","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"CONMED","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"CONMED","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"CONMED","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CONMED","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"CONMED","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","CMSEQ","8","Row #","NUMBER","3","0","","","","2013-09-14 07:59:42.0"
"CONMED","CMTRT","9","Medication","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CONMED","CMDOSE","10","Dose","NUMBER","9","4","","","","2013-09-14 07:59:42.0"
"CONMED","CMDOSU","11","Units","CHAR","10","","","","","2013-09-14 07:59:42.0"
"CONMED","CMDOSFRQ","12","Frequency","CHAR","10","","","","","2013-09-14 07:59:42.0"
"CONMED","ROUTE","13","Route","CHAR","1","","","","ROUTE","2013-09-14 07:59:42.0"
"CONMED","STARTDT","14","Start Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","STARTEST","15","Start Date estimation","CHAR","3","","","","DATEEST","2013-09-14 07:59:42.0"
"CONMED","STOPDT","16","Stop Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","STOPEST","17","Stop Date estimation","CHAR","3","","","","DATEEST","2013-09-14 07:59:42.0"
"CONMED","ONGOING","18","Ongoing","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"CONMED","CMINDC","19","Indication","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CONMED","DISMED","20","PD Med ?","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"CONMED","RECNO","21","WHO RECNO","CHAR","6","","","","","2013-09-14 07:59:42.0"
"CONMED","SEQNO1","22","WHO SEQNO1","CHAR","2","","","","","2013-09-14 07:59:42.0"
"CONMED","SEQNO2","23","WHO SEQNO2","CHAR","3","","","","","2013-09-14 07:59:42.0"
"CONMED","WHODRUG","24","WHO DRUG NAME","CHAR","70","","","","","2013-09-14 07:59:42.0"
"CONMED","EXCLMED","25","Exclusionary Med flag","CHAR","1","","","","","2013-09-14 07:59:42.0"
"CONMED","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"CONMED","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"CONMED","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"CORIELL","ALIAS_ID","1","Patient Number","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","ALLOCATED_DATE","2","Allocation Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CORIELL","CLINICAL_EVENT","3","Event Name","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","CONFIRMED_DATE","4","Confirmed Date","DATE","","","","","","2013-09-14 07:59:42.0"
"CORIELL","CONTAINER_TYPE","5","Container Type","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","CUSTODIAL_DOMAIN","6","Custodial Domain","CHAR","10","","","","","2013-09-14 07:59:42.0"
"CORIELL","DISPOSITION","7","Disposition","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","QUANTITY","8","Quantity","NUMBER","12","4","","","","2013-09-14 07:59:42.0"
"CORIELL","QUANTITY_UNITS","9","Quantity Units","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","SAMPLEID","10","Coriell Sample ID","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","SITE_ID","11","Site Name","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","SMS_SUBJECT_ID","12","Coriell Subject ID","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","STATUS","13","Status","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","STUDYID","14","Study Name","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","TYPE","15","Type","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","VOLUME_RECEIVED","16","Volume Received","NUMBER","12","4","","","","2013-09-14 07:59:42.0"
"CORIELL","VOLUME_RECEIVED_UNITS","17","Volume Received Units","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL","PARENTID","18","Parent Sample ID","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","CUSTODIAL_DOMAIN","1","Custodial Domain","CHAR","10","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","CLINICAL_EVENT","2","Event Name","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","TYPE","3","Type","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","SMS_SUBJECT_ID","4","Coriell Subject ID","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","ALIAS_ID","5","Patient Number","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","NUM_AVAILABLE","6","Num Aliquots Available","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","QUANTITY","7","Quantity","NUMBER","12","4","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","QUANTITY_UNITS","8","Quantity Units","CHAR","100","","","","","2013-09-14 07:59:42.0"
"CORIELL_CATALOG","MASS_UG","9","Mass ug","NUMBER","12","4","","","","2013-09-14 07:59:42.0"
